"date","sku","product_name","category","supplier","sales","current_stock","in_transit","lead_time_days","unit_price"
"2025-01-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","452","610","240","9","6.49"
"2025-01-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","194","165","96","12","11.99"
"2025-01-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","280","310","130","14","5.79"
"2025-01-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","156","120","80","21","13.5"
"2025-01-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","226","175","70","16","9.25"
"2025-01-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","134","205","48","11","4.99"
"2025-01-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","355","280","165","8","7.25"
"2025-01-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","312","95","110","10","3.49"
"2025-02-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","433","610","240","9","6.49"
"2025-02-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","186","165","96","12","11.99"
"2025-02-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","268","310","130","14","5.79"
"2025-02-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","150","120","80","21","13.5"
"2025-02-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","217","175","70","16","9.25"
"2025-02-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","129","205","48","11","4.99"
"2025-02-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","340","280","165","8","7.25"
"2025-02-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","299","95","110","10","3.49"
"2025-03-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","414","610","240","9","6.49"
"2025-03-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","178","165","96","12","11.99"
"2025-03-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","257","310","130","14","5.79"
"2025-03-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","143","120","80","21","13.5"
"2025-03-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","207","175","70","16","9.25"
"2025-03-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","123","205","48","11","4.99"
"2025-03-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","326","280","165","8","7.25"
"2025-03-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","286","95","110","10","3.49"
"2025-04-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","395","610","240","9","6.49"
"2025-04-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","169","165","96","12","11.99"
"2025-04-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","245","310","130","14","5.79"
"2025-04-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","12","120","80","21","13.5"
"2025-04-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","198","175","70","16","9.25"
"2025-04-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","118","205","48","11","4.99"
"2025-04-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","311","280","165","8","7.25"
"2025-04-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","273","95","110","10","3.49"
"2025-05-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","615","610","240","9","6.49"
"2025-05-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","264","165","96","12","11.99"
"2025-05-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","293","310","130","14","5.79"
"2025-05-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","163","120","80","21","13.5"
"2025-05-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","237","175","70","16","9.25"
"2025-05-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","141","205","48","11","4.99"
"2025-05-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","372","280","165","8","7.25"
"2025-05-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","327","95","110","10","3.49"
"2025-06-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","590","610","240","9","6.49"
"2025-06-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","253","165","96","12","11.99"
"2025-06-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","281","310","130","14","5.79"
"2025-06-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","157","120","80","21","13.5"
"2025-06-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","227","175","70","16","9.25"
"2025-06-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","135","205","48","11","4.99"
"2025-06-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","357","280","165","8","7.25"
"2025-06-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","314","95","110","10","3.49"
"2025-07-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","1240","610","240","9","6.49"
"2025-07-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","242","165","96","12","11.99"
"2025-07-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","269","310","130","14","5.79"
"2025-07-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","150","120","80","21","13.5"
"2025-07-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","218","175","70","16","9.25"
"2025-07-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","130","205","48","11","4.99"
"2025-07-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","342","280","165","8","7.25"
"2025-07-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","300","95","110","10","3.49"
"2025-08-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","540","610","240","9","6.49"
"2025-08-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","232","165","96","12","11.99"
"2025-08-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","257","310","130","14","5.79"
"2025-08-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","144","120","80","21","13.5"
"2025-08-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","208","175","70","16","9.25"
"2025-08-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","124","205","48","11","4.99"
"2025-08-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","327","280","165","8","7.25"
"2025-08-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","287","95","110","10","3.49"
"2025-09-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","396","610","240","9","6.49"
"2025-09-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","170","165","96","12","11.99"
"2025-09-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","245","310","130","14","5.79"
"2025-09-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","137","120","80","21","13.5"
"2025-09-01","HOU-040","Recycled Paper Towels 6-Pack","Household","Evergreen Supply","0","175","70","16","9.25"
"2025-09-01","HOU-115","Plant-Based Dish Soap 750ml","Household","Evergreen Supply","118","205","48","11","4.99"
"2025-09-01","SNK-205","Trail Mix Family Bag","Snacks","Bluebird Provisions","311","280","165","8","7.25"
"2025-09-01","SNK-440","Dark Chocolate Bar 70%","Snacks","Bluebird Provisions","274","95","110","10","3.49"
"2025-10-01","BEV-100","Sparkling Water 12-Pack","Beverages","Northstar Foods","476","610","240","9","6.49"
"2025-10-01","BEV-220","Cold Brew Coffee 4-Pack","Beverages","Northstar Foods","204","165","96","12","11.99"
"2025-10-01","PAN-105","Organic Rolled Oats 1kg","Pantry","Harvest Cooperative","295","310","130","14","5.79"
"2025-10-01","PAN-310","Extra Virgin Olive Oil 500ml","Pantry","Harvest Cooperative","164","120","80","21","13.5"
